Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
   73    2 0xffffff8001e85000 0x194000   0x194000   com.apple.iokit.IO80211Family (1200.12.2b2) 269ACA19-0AF2-3226-80F1-3A976D3C1421 <72 68 49 39 31 10 9 8 7 6 3 1>
   74    5 0xffffff8002f03000 0x7000     0x7000     com.apple.iokit.IOSerialFamily (11) E24D3487-6AB7-392E-90CF-AA3C825554BC <9 8 7 6 3 1>
   75    1 0xffffff8001487000 0x205000   0x205000   com.apple.driver.AppleBCMWLANCoreMac (1.0.0) F73FEA3D-9214-342D-AF77-39E39EACD666 <74 73 72 71 70 69 68 50 49 39 31 16 10 9 8 7 6 3 1>
   76    0 0xffffff8001420000 0x5b000    0x5b000    com.apple.driver.AppleBCMWLANBusInterfacePCIeMac (1) A756C6B0-1759-30D3-A5AE-13E0185001EE <75 73 72 70 69 68 49 39 16 9 8 7 6 3 1>
   77    0 0xffffff8002b60000 0x2d000    0x2d000    com.apple.iokit.IONVMeFamily (2.1.0) 2D7DB549-33D7-34FA-8C25-2810E78D7987 <45 33 31 16 9 8 7 6 3 1>
   78    6 0xffffff8002a61000 0x7000     0x7000     com.apple.iokit.IOBufferCopyEngineFamily (1) AE78846D-E697-3A06-AE5D-DD72B06C8965 <7 6 3 1>
   79    0 0xffffff8002a5b000 0x3000     0x3000     com.apple.iokit.IOBufferCopyController (1.1.0) 51FC05AD-2917-39AE-918E-A293C251C748 <78 16 9 8 7 6 3 1>
   80    0 0xffffff80017bf000 0x5000     0x5000     com.apple.driver.AppleEffaceableNOR (1.0) 1D7AAB7D-E736-328F-BEF8-A4B95E7C2130 <78 36 27 9 7 6 3 1>
   81    3 0xffffff8001be9000 0x6000     0x6000     com.apple.driver.usb.AppleUSBVHCICommon (1.0) 61CB08BD-89D9-3F9F-AE84-34B7F7760EA9 <24 22 9 7 6 3 1>
   82    1 0xffffff8003340000 0x1d000    0x1d000    com.apple.driver.usb.AppleUSBVHCI (1.2) A28F6D48-1048-3165-8C65-54C389E5F5B7 <81 24 22 9 8 7 6 3 1>
   83    1 0xffffff8001bf1000 0xb000     0xb000     com.apple.driver.usb.AppleUSBVHCICommonBCE (1.0) 62AFBD9C-F8FD-3DFE-B4AB-B14617FCF8FD <81 78 22 9 7 6 3 1>
   84    0 0xffffff8003363000 0x2000     0x2000     com.apple.driver.usb.AppleUSBVHCIBCE (1.2) 9FB98536-840C-3B84-B5F1-BD417BBF47B8 <83 82 81 78 24 22 15 9 8 7 6 3 1>
   85    8 0xffffff8002fc9000 0xe7000    0xe7000    com.apple.iokit.IOThunderboltFamily (9.3.3) 99817455-AE73-3EE6-8784-EEA9FE700721 <17 7 6 3 1>
   86    0 0xffffff8001b57000 0x31000    0x31000    com.apple.driver.AppleThunderboltNHI (7.2.81) 365E6083-4971-3C56-872D-06B95925B017 <85 16 15 8 7 6 3 1>
   87    0 0xffffff8001c7a000 0x3000     0x3000     com.apple.driver.AppleXsanScheme (3) 73E0C433-CEAA-3250-A49E-88EE1D10FCF5 <33 7 6 3 1>
   88    1 0xffffff8003507000 0x17f000   0x17f000   com.apple.filesystems.apfs (1934.141.2) 7BE1A42C-8498-3552-889B-B576BD16C310 <62 39 33 30 27 10 9 8 7 6 3 2 1>
   89    0 0xffffff80017e1000 0x2000     0x2000     com.apple.AppleFSCompression.AppleFSCompressionTypeDataless (1.0.0d1) 8C0F1B4F-3B76-31B7-8E36-986BE0231F8E <9 8 6 3 2 1>
   90    0 0xffffff80017e5000 0x12000    0x12000    com.apple.AppleFSCompression.AppleFSCompressionTypeZlib (1.0.0) 08C22A25-95A6-3B37-B4BD-E182F661F422 <8 6 3 2 1>
   91    0 0xffffff8001cc2000 0xd000     0xd000     com.apple.BootCache (40) AC5D600C-A9BA-3F6C-875C-B2AFA5CB00D7 <9 8 7 6 3 1>
   92    1 0xffffff8001e81000 0x2000     0x2000     com.apple.filesystems.hfs.encodings.kext (1) 86662389-05AC-3137-AFC3-BB41E064E55A <9 8 7 6 3 1>
   93    0 0xffffff8001e1c000 0x5f000    0x5f000    com.apple.filesystems.hfs.kext (583.100.10) 635C9E53-AA17-3FA3-95BD-C2BF852C8368 <92 9 8 7 6 3 1>
   94    3 0xffffff8002fa6000 0x1d000    0x1d000    com.apple.iokit.IOSurface (302.14) 26B61290-2EE7-3CBF-9255-8C2663E2E0F7 <9 8 7 6 3 1>
   95    0 0xffffff800374c000 0x13000    0x13000    com.apple.filesystems.lifs (1) DEC6724C-8CF5-32F0-9A4F-9A0CF4722A08 <9 8 7 6 3 1>
   96    0 0xffffff80016b0000 0x1000     0x1000     com.apple.driver.AppleBSDKextStarter (3) 1156513F-D8FB-3261-83FE-5EA0662BEA2C <6 3>
   97    0 0xffffff800376b000 0xa000     0xa000     com.apple.filesystems.tmpfs (1) 87BCF164-4E5E-3D2E-8E35-D7CCD0AF3081 <9 8 7 6 3 1>
   98    0 0xffffff80017fb000 0x2000     0x2000     com.apple.driver.AppleFileSystemDriver (3.0.1) C044CF1B-E268-3F83-8BA4-DA6AC8D43399 <33 6 3>
   99    0 0xffffff8001c92000 0x2000     0x2000     com.apple.driver.BCMWLANFirmware4355.Hashstore (1) D6085DE5-0A15-3CD5-8CA7-B5C2C37264DB <70 68 7 6 3 1>
  100    0 0xffffff8001c96000 0x7000     0x7000     com.apple.driver.BCMWLANFirmware4364.Hashstore (1) 29BBC870-3A8D-3322-A80D-B4376FA8E5A8 <70 68 7 6 3 1>
  101    0 0xffffff8001ca3000 0x4000     0x4000     com.apple.driver.BCMWLANFirmware4377.Hashstore (1) EF485888-7396-3A74-9447-075691A7D17F <70 68 7 6 3 1>
  102    0 0xffffff8001cab000 0x5000     0x5000     com.apple.driver.BCMWLANFirmware4378.Hashstore (1) A6B8153F-B41D-32B8-9A6B-5CD2577C0A82 <70 68 7 6 3 1>
  103    0 0xffffff8001cb5000 0x7000     0x7000     com.apple.driver.BCMWLANFirmware4387.Hashstore (1) D4431AC6-AC7A-36D1-8F6E-B190037C167F <70 68 7 6 3 1>
  104    1 0xffffff80018b3000 0x5000     0x5000     com.apple.driver.AppleIntelLpssDmac (3.0.60) F854316E-EEDA-3349-B4AF-6D6016A4BA26 <16 15 7 6 3>
  105    1 0xffffff80018c3000 0x7000     0x7000     com.apple.driver.AppleIntelLpssI2C (3.0.60) 866A9077-321A-3190-A39E-28F46723F098 <16 15 9 7 6 3>
  106    1 0xffffff80018cc000 0xe000     0xe000     com.apple.driver.AppleIntelLpssI2CController (3.0.60) A12BBCB5-CFD8-323F-B5E6-DF6475CA59A7 <105 104 15 9 7 6 3>
  107    0 0xffffff800181e000 0x8000     0x8000     com.apple.driver.AppleHPM (3.4.4) C23B3655-CED4-3E30-9333-BEFC0A51B152 <106 85 15 7 6 3 1>
  108    3 0xffffff8001b0b000 0x17000    0x17000    com.apple.driver.AppleThunderboltDPAdapterFamily (8.5.1) 51B77B18-F76F-31FE-A7FF-E1C9D8904536 <85 7 6 3 1>
  109    0 0xffffff8001b25000 0xa000     0xa000     com.apple.driver.AppleThunderboltDPInAdapter (8.5.1) 739AC457-4F30-3EFD-B801-4ADFA60F3C40 <108 85 15 7 6 3 1>
  110    0 0xffffff8001b93000 0x4000     0x4000     com.apple.driver.AppleThunderboltPCIDownAdapter (4.1.1) 772E86B6-3DDB-3DEB-80B6-67B0FCFF1030 <85 16 7 6 3 1>
  111    3 0xffffff80032b5000 0x4000     0x4000     com.apple.driver.usb.AppleUSBHostCompositeDevice (1.2) FDB9C80A-3CA7-3409-AC6E-9D8E6FD1635F <24 22 8 7 6 3 1>
  112    3 0xffffff8001c34000 0x2000     0x2000     com.apple.driver.usb.networking (5.0.0) 083B27C8-0888-39C7-8302-DC147F6FAC64 <24 8 7 6 3 1>
  113    2 0xffffff8001bde000 0x2000     0x2000     com.apple.driver.usb.cdc (5.0.0) D7B9DDF0-F385-388B-BF16-FA0F828D07A9 <112 111 24 7 6 3 1>
  114    0 0xffffff8001c2a000 0x7000     0x7000     com.apple.driver.usb.cdc.ncm (5.0.0) 14557815-18EB-3CC0-8E15-C9588B08CBB9 <113 112 111 49 45 24 8 7 6 3 1>
  115    0 0xffffff8001c02000 0x4000     0x4000     com.apple.driver.usb.cdc.ecm (5.0.0) DBB86D20-4DB1-3400-8394-4E5A05F5C345 <113 112 49 24 23 7 6 3 1>
  116    0 0xffffff800341e000 0xa000     0xa000     com.apple.driver.usb.IOUSBHostHIDDevice (1.2) 263AF45C-7EB6-38DB-A612-80F24F4C818A <54 24 22 7 6 3 1>
  117    1 0xffffff8002f74000 0x2000     0x2000     com.apple.iokit.IOSlowAdaptiveClockingFamily (1.0.0) D95E2AB0-2158-3DCC-979F-8063B1CE2882 <9 8 7 6 3 1>
  118    0 0xffffff7f98f25000 0x1000     0x1000     com.apple.driver.AppleIntelSlowAdaptiveClocking (4.0.0) E0A83423-AF91-302E-848D-58E8AF624F44 <117 6 3>
  119   21 0xffffff7f9933f000 0x2f000    0x2f000    com.apple.iokit.IOGraphicsFamily (597) 6971EFFA-C06F-3FC9-AE76-7F2639DEA8B1 <16 9 7 6 3 1>
  120    9 0xffffff7f97b28000 0x4000     0x4000     com.apple.AppleGraphicsDeviceControl (6.5.7) 4279B918-C8C5-3514-924E-3A5AC5C7E44A <119 16 9 8 7 6 3 1>
  121    0 0xffffff7f97b1d000 0x7000     0x7000     com.apple.AppleGPUWrangler (6.5.7) E420C914-A42B-3BE2-BC15-D5509B7E854C <120 119 16 9 8 7 6 3 1>
  122    1 0xffffff8001b32000 0x21000    0x21000    com.apple.driver.AppleThunderboltDPOutAdapter (8.5.1) 53C7095F-06B2-3F67-8794-81F60C14B752 <108 85 15 7 6 3 1>
  123    0 0xffffff7f98fc7000 0x8000     0x8000     com.apple.driver.AppleThunderboltEDMSink (5.0.3) AAEE1548-0DDD-3F17-9D8E-E6232ABB7EBE <122 108 85 15 7 6 3 1>
